index,Test_Time(s),Step_Time(s),Cycle_Index,Step_Index,Voltage,Test_Time(s),Step_Time(s),Cycle_Index,Step_Index,Current,Test_Time(s),Step_Time(s),Cycle_Index,Step_Index,Charge_Capacity,Test_Time(s),Step_Time(s),Cycle_Index,Step_Index,Discharge_Capacity
866,100897.643944,1920.0002,11,5,3.43168830871582,100897.643944,1920.0002,11,5,-2.28214836120605,100897.643944,1920.0002,11,5,2.40531325340271,100897.643944,1920.0002,11,5,1.21711277961731
867,101017.647844,2040.0041,11,5,3.41392707824707,101017.647844,2040.0041,11,5,-2.28210163116455,101017.647844,2040.0041,11,5,2.40531325340271,101017.647844,2040.0041,11,5,1.29318702220917
868,101137.645044,2160.0013,11,5,3.39651775360107,101137.645044,2160.0013,11,5,-2.28211784362793,101137.645044,2160.0013,11,5,2.40531325340271,101137.645044,2160.0013,11,5,1.36925077438355
869,101257.649544,2280.0058,11,5,3.38006019592285,101257.649544,2280.0058,11,5,-2.28216075897217,101257.649544,2280.0058,11,5,2.40531325340271,101257.649544,2280.0058,11,5,1.44532370567322
870,101377.649444,2400.0057,11,5,3.36378288269043,101377.649444,2400.0057,11,5,-2.28207206726074,101377.649444,2400.0057,11,5,2.40531325340271,101377.649444,2400.0057,11,5,1.52139067649841
871,101497.645344,2520.0016,11,5,3.34774971008301,101497.645344,2520.0016,11,5,-2.2821044921875,101497.645344,2520.0016,11,5,2.40531325340271,101497.645344,2520.0016,11,5,1.59746241569519
872,101617.645344,2640.0016,11,5,3.33117866516113,101617.645344,2640.0016,11,5,-2.28207397460937,101617.645344,2640.0016,11,5,2.40531325340271,101617.645344,2640.0016,11,5,1.67352902889252
873,101737.648244,2760.0045,11,5,3.31371593475342,101737.648244,2760.0045,11,5,-2.28205871582031,101737.648244,2760.0045,11,5,2.40531325340271,101737.648244,2760.0045,11,5,1.74960076808929
874,101857.646844,2880.0031,11,5,3.29490280151367,101857.646844,2880.0031,11,5,-2.28213500976562,101857.646844,2880.0031,11,5,2.40531325340271,101857.646844,2880.0031,11,5,1.82567298412323
875,101977.649544,3000.0058,11,5,3.27430438995361,101977.649544,3000.0058,11,5,-2.2821102142334,101977.649544,3000.0058,11,5,2.40531325340271,101977.649544,3000.0058,11,5,1.90173971652985
876,102097.645344,3120.0016,11,5,3.25106811523437,102097.645344,3120.0016,11,5,-2.28214740753174,102097.645344,3120.0016,11,5,2.40531325340271,102097.645344,3120.0016,11,5,1.97780215740204
877,102217.646244,3240.0025,11,5,3.22436237335205,102217.646244,3240.0025,11,5,-2.28214550018311,102217.646244,3240.0025,11,5,2.40531325340271,102217.646244,3240.0025,11,5,2.05387306213379
878,102337.645744,3360.002,11,5,3.19259738922119,102337.645744,3360.002,11,5,-2.28215217590332,102337.645744,3360.002,11,5,2.40531325340271,102337.645744,3360.002,11,5,2.12994813919067
879,102457.643844,3480.0001,11,5,3.15361595153809,102457.643844,3480.0001,11,5,-2.28205871582031,102457.643844,3480.0001,11,5,2.40531325340271,102457.643844,3480.0001,11,5,2.20601511001587
880,102577.645444,3600.0017,11,5,3.10566711425781,102577.645444,3600.0017,11,5,-2.2820405960083,102577.645444,3600.0017,11,5,2.40531325340271,102577.645444,3600.0017,11,5,2.28208994865417
881,102697.648244,3720.0045,11,5,3.04560089111328,102697.648244,3720.0045,11,5,-2.2821216583252,102697.648244,3720.0045,11,5,2.40531325340271,102697.648244,3720.0045,11,5,2.35815501213074
882,102771.247744,3793.604,11,5,2.9999942779541,102771.247744,3793.604,11,5,-2.28218746185303,102771.247744,3793.604,11,5,2.40531325340271,102771.247744,3793.604,11,5,2.40481662750244
883,102891.405604,120.0056,11,6,3.63722324371338,102891.405604,120.0056,11,6,0,102891.405604,120.0056,11,6,2.40531325340271,102891.405604,120.0056,11,6,2.40486311912537
884,103011.403304,240.0033,11,6,3.66708087921143,103011.403304,240.0033,11,6,0,103011.403304,240.0033,11,6,2.40531325340271,103011.403304,240.0033,11,6,2.40486311912537
885,103071.403104,300.0031,11,6,3.67391586303711,103071.403104,300.0031,11,6,0,103071.403104,300.0031,11,6,2.40531325340271,103071.403104,300.0031,11,6,2.40486311912537
886,103126.128048,54.6388,12,2,4.20009708404541,103126.128048,54.6388,12,2,3.25993347167969,103126.128048,54.6388,12,2,0.056824706494808,103126.128048,54.6388,12,2,1.25193555522429E-09
887,103246.148072,120.0017,12,3,4.25651168823242,103246.148072,120.0017,12,3,3.25991821289062,103246.148072,120.0017,12,3,0.165230646729469,103246.148072,120.0017,12,3,1.25193555522429E-09
888,103366.148972,240.0026,12,3,4.28769683837891,103366.148972,240.0026,12,3,3.25998306274414,103366.148972,240.0026,12,3,0.273893535137177,103366.148972,240.0026,12,3,1.25193555522429E-09
889,103486.149272,360.0029,12,3,4.31230735778809,103486.149272,360.0029,12,3,3.26002883911133,103486.149272,360.0029,12,3,0.382565170526505,103486.149272,360.0029,12,3,1.25193555522429E-09
890,103606.147772,480.0014,12,3,4.33391284942627,103606.147772,480.0014,12,3,3.25997924804687,103606.147772,480.0014,12,3,0.491232395172119,103606.147772,480.0014,12,3,1.25193555522429E-09
